罗阳四村,sh3691179,43057,124.95,538,2016-07-21 11:16:36,2016-08-24 00:00:08,1,莲花路,1095,L,16,\N
罗阳二村,sh2676060,42535,72.88,310,2016-07-21 11:16:36,2016-08-24 00:00:08,0,,0,H,7,\N
上中西路767弄,sh4075012,41540,75.83,315,2016-07-21 11:16:36,2016-09-19 00:00:06,0,,0,H,6,1998
罗阳四村,sh2280681,38606,55.69,215,2016-07-21 11:16:36,2016-08-16 00:00:09,1,莲花路,1095,H,6,1997
绿梅公寓（罗阳路111弄）,sh3684923,38642,142.33,550,2016-07-21 11:16:36,2016-08-20 00:00:09,0,,0,H,4,\N
梅陇一村,sh1158584,38709,54.25,210,2016-07-21 11:16:36,2016-07-26 00:00:11,1,锦江乐园,482,H,6,1988
梅陇一村,sh1897239,55797,73.48,410,2016-07-21 11:16:36,2016-11-05 12:00:18,1,锦江乐园,482,H,6,1991
罗阳七村,sh4154560,38890,115.71,450,2016-07-21 11:16:36,2016-08-06 00:00:08,1,外环路,752,H,6,1996
朱行新四村,sh3733099,38907,65.54,255,2016-07-21 11:16:36,2016-08-11 00:00:08,0,,0,H,5,1996
益文路79弄,sh1844525,38958,52.62,205,2016-07-21 11:16:36,2016-07-29 00:00:09,1,锦江乐园,734,H,6,1995
罗阳五村,sh2287213,39015,166.6,650,2016-07-21 11:16:36,2016-10-03 22:44:31,1,莲花路,1080,H,6,1999
罗阳四村,sh2477047,39918,58.87,235,2016-07-21 11:16:36,2016-08-13 00:00:07,1,莲花路,1095,H,6,1997
罗阳三村,sh2155257,39082,57.57,225,2016-07-21 11:16:36,2016-08-13 00:00:07,1,莲花路,1028,H,6,\N
梅陇二村,sh1262578,39993,58.76,235,2016-07-21 11:16:36,2016-08-07 00:00:08,1,莲花路,832,H,5,1989
罗阳二村,sh3686559,39146,101.67,398,2016-07-21 11:16:36,2016-08-21 00:00:07,0,,0,M,7,\N
上中西路767弄,sh2115222,39222,85.41,335,2016-07-21 11:16:36,2016-08-08 00:00:09,0,,0,H,6,1998
